gpu_count,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
5,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,48,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.75,B,copy-based,964141,946836,965839,2074.3853855400816,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,1.0,B,copy-based,947937,945840,965875,2109.844852558767,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.0,A,pointer-sharing,44,42,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.0,B,copy-based,971757,970986,1021275,2058.127700649442,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.25,A,pointer-sharing,44,42,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.25,B,copy-based,971900,970708,972726,2057.824879102788,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.5,A,pointer-sharing,45,43,60,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.5,B,copy-based,969987,969518,1054736,2061.883303590667,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.75,A,pointer-sharing,44,42,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,0.75,B,copy-based,993896,984306,998631,2012.282975281116,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,1.0,A,pointer-sharing,44,42,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,erdos_renyi,2000,1.0,B,copy-based,975163,964985,981444,2050.9391763223175,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.0,A,pointer-sharing,46,43,53,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.0,B,copy-based,989068,982446,1032891,2022.1056590648975,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.25,B,copy-based,1009839,985531,1023845,1980.5137254552458,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.5,A,pointer-sharing,45,43,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
6,barabasi_albert,2000,0.5,B,copy-based,1050186,1023149,1072999,1904.4245495559835,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n6/runs/rq1_N2000.stdout.log
